DATE,VALUE
1/1/2007,1477.19
1/1/2008,1220.04
1/1/2009,948.05
1/1/2010,1139.97
1/1/2011,1267.64
1/1/2012,1379.35
1/1/2013,1643.8
1/1/2014,1931.38
1/1/2015,2061.07
1/1/2016,1948.32
